 or Rogers in Canada  with Snapdragon 835 processors and Sony IMX camera sensors,['camera']
2 inches  which makes it a bit taller and slightly wider  with a battery 16  larger,['battery']
 The corners curve  the display curves  the glass curves,['display']
 This is a phone that has no sharp corners  nowhere to focus our attention away from the massive screen,['screen']
2 inch QHD  display  but both use Samsung s latest AMOLED panels  at a 2960x1440 resolution,['display']
 The larger of the two  the S8   is a little less amenable to single paw use  but it s still far narrower than something like the Pixel XL  and has far more usable screen real estate,['screen']
  Even though wide angle video is cut off  though some apps make minor crops to fill the display   the tradeoff is worth it,['display']
 As good as the LCD panel is on the LG G6  Samsung practically owns the OLED space  and it s becoming clear that the thinner display technology is the future of mobile screens,['display']
 That screen   the so called Infinity Display   is not a huge departure from something like the Galaxy S7 s edge  but it eliminates as much of the bezels above and below the display as possible,"['screen', 'display', 'display']"
 Samsung did it  in part  because it finally removed the home button from the front of the phone  adopting on screen navigation buttons for the first time in its history,['screen']
 So there s no physical home button  just three on screen navigation keys,['screen']
 The achievement comes in the form of an  invisible  home button  a tactile area below the on screen home button that offers real feedback from a precise haptic engine,['screen']
 Not only does this alleviate some of the angst around losing that physical key  but it allows you to turn on the screen as you would that physical counterpart by pressing at any time   even when the display is off,"['screen', 'display']"
 Now on the back  right next to the camera  it s not quite as bad as it looks   especially on the smaller S8   but it s still not great,['camera']
 And while I wish Samsung would have thrown symmetry to the wind and placed it center  below the camera  I found myself only using the fingerprint sensor when the face recognition wasn t feasible,['camera']
1mm  perfectly suited for a modest  but not huge  battery  and the complete elimination of a camera bump,"['battery', 'camera']"
   Aside from the bevy of sensors aligning the narrow strip of bezel atop the display  the only other major change to the Galaxy S8 s design is the addition of an extra button on the left side of the phone,['display']
 You ll likely see more companies release phones of this shape  size and aspect ratio this year  but none will be able to offer an AMOLED screen of this caliber  HDR certification  DCI P3 color gamut  with a flexible display and curved glass that isn t just a gimmick  well  mostly isn t a gimmick ,"['screen', 'display']"
 That said  Samsung s new launcher is pretty great  with a gesture friendly home screen that does a lot with a little,['screen']
 Part of that willingness to accept is thanks to Samsung s beautiful  simple Infinity live wallpapers  which assign gently shifting scenes of the cosmos to the home screen  lock screen and always on display,"['screen', 'screen', 'display']"
 Together  they form a blanket of subtle movement to the phone s curved exterior  and play well with the form  from the gradual lightening when turning on the screen to the way the stars move when shifting home screens,['screen']
 You can turn on the display by tapping the area where the virtual home button lives and have the phone automatically scan your face or iris,['display']
  I guess the question I would ask is  Would you prefer Samsung have maintained the front facing home button finger sensor combo and sacrificed the scale and symmetry of the new Infinity Display  After using the phone for two weeks   after maneuvering my left or right index finger to find the awkwardly placed fingerprint sensor next to the rear camera   I think the decision is not only justifiable  but agreeable,"['display', 'camera']"
 From calendar entries to recent photos to upcoming Uber rides  Bixby Home is located to the left of the main home screen  and available anytime  thanks to its button   it amounts to a watered down version of Google Now s Feed,['screen']
 Bixby Vision  A way to identify and purchase products using your camera  this is one of the more interesting and potential filled parts of Bixby  but as of now it s fairly limited,['camera']
 Apps that aren t optimized for the Galaxy S8 s taller aspect ratio can be forced to conform   my default email app  Newton  saw no ill effects   and Samsung has taken it upon itself to optimize YouTube for the larger display  intelligently cropping content so it fills the entire 18,['display']
5 9 screen,['screen']
 And popular features from previous Galaxy devices make a return here  too  Smart Stay  which debuted on the Galaxy S3  is still chugging along  while Samsung s retinue of display scaling options have been maintained from the Galaxy S7 Nougat update,['display']
  There is a new set of always on display options  replete with what Samsung is calling FaceWidgets  a trio of swipeable widgets  from music controls to a tiny schedule  that can be accessed by double tapping on the perennially visible clock,['display']
 Of course  both versions of the phone come with Edge screen support this time  and while they re on by default  I find most of the options of dubious value and quickly turned them off,['screen']
 Still  as with the Galaxy S7 edge  a helpful screenshot annotation feature is now built into the Edge screen  allowing you to take a square or circle screenshot  or even a short video that s saved as a GIF  as you work on the phone,['screen']
 Finally  a number of battery saving features are on board  including a default resolution of 2220x1080  another holdover from the Galaxy S7 s Nougat update,['battery']
 This absolutely contributed to the excellent battery life I got from both the Galaxy S8 and S8   but I want to be clear about the decision  it s almost impossible to tell the difference between 1080p and the phone s default resolution of 2960x1440  even at the most eye straining scale,['battery']
 I did eventually switch to a different launcher  Nova Launcher   and I did disable a number of what I feel are superfluous features  including the Edge screen and FaceWidgets  but the good news is that I am pretty damn happy with the way Samsung has restrained its propensity for feature bloat   or bloat of any kind  in fact,['screen']
 This is the first phone on the market with Qualcomm s Snapdragon 835 platform  which once again sees its flagship chip adorned with eight cores  along with 4GB of RAM and 64GB of UFS 2,['ram']
1 based storage,['storage']
  The Snapdragon 835 also drives the Galaxy S8 s improved camera experience  with an updated image signal processor that delivers cleaner photos in low light  and smoother implementations of multi frame captures like HDR,"['camera', 'processor']"
  Efficiency seems to be the Snapdragon 835 s defining characteristic  and that extends to the battery life,['battery']
 If you skipped through the previous 4 000 words to find out whether the Galaxy S8 and S8  have improved battery life over their predecessors  I have good news,['battery']
  Both phone sizes have roughly the same sized battery cells as their 2016 equivalents   3 000mAh for the Galaxy S8  and 3 500mAh for the Galaxy S8 ,['battery']
 But both are convincingly better at lasting a full day of use  largely owing to the more efficient processor  a Super AMOLED screen that  pixel for pixel uses less power  and a lower default resolution that appeases both previous points,"['processor', 'screen']"
5 or 5 hours of screen on time,['screen']
5 hours of screen on time,['screen']
